id	lat	lng	city	address_	province	suburb	street	postcode
693	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
694	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
695	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
696	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
697	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
698	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
699	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
700	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
701	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
702	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
703	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
704	24.75759	46.6697	Riyadh Region	Almuruj Dstrict, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Almuruj Dstrict	Al Taer Al Zeiti	12465
707	24.77039357	46.63058158	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Al Entesar Street	13519
708	24.7834334	46.61530808	Riyadh Region	Al Aqeeq District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Aqeeq District		13521
709	24.7834334	46.61530808	Riyadh Region	Al Aqeeq District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Aqeeq District		13521
710	24.7834334	46.61530808	Riyadh Region	Al Aqeeq District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Aqeeq District		13521
711	24.7834334	46.61530808	Riyadh Region	Al Aqeeq District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Aqeeq District		13521
712	24.7834334	46.61530808	Riyadh Region	Al Aqeeq District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Aqeeq District		13521
713	24.7834334	46.61530808	Riyadh Region	Al Aqeeq District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Aqeeq District		13521
720	24.7884	46.68576	Riyadh Region	Al Wadi District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Wadi District	Mahayeda	13312
721	24.7884	46.68576	Riyadh Region	Al Wadi District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Wadi District	Mahayeda	13312
722	24.7884	46.68576	Riyadh Region	Al Wadi District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Wadi District	Mahayeda	13312
723	24.7884	46.68576	Riyadh Region	Al Wadi District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Wadi District	Mahayeda	13312
724	24.7884	46.68576	Riyadh Region	Al Wadi District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Wadi District	Mahayeda	13312
725	24.82395	46.63112	Riyadh Region	Al Yasmin District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Yasmin District	Al Kifah Street	11532
726	24.79127	46.61605	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	Al Bateha Valley Street	13521
727	24.79127	46.61605	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	Al Bateha Valley Street	13521
728	24.79127	46.61605	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	Al Bateha Valley Street	13521
729	24.79127	46.61605	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	Al Bateha Valley Street	13521
730	24.79127	46.61605	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	Al Bateha Valley Street	13521
731	24.79127	46.61605	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	Al Bateha Valley Street	13521
732	24.79127	46.61605	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	Al Bateha Valley Street	13521
733	24.79127	46.61605	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	Al Bateha Valley Street	13521
734	24.79127	46.61605	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	Al Bateha Valley Street	13521
771	24.78949	46.62666	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Halbajah Street	13315
772	24.78949	46.62666	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Halbajah Street	13315
773	24.78949	46.62666	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Halbajah Street	13315
774	24.78949	46.62666	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Halbajah Street	13315
789	24.84385	46.75628	Riyadh Region	Al Muwanisiyah, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Muwanisiyah	Abi Hajar Al Aala	13421
798	24.77576	46.62762	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Al Salila	13519
799	24.77576	46.62762	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Al Salila	13519
800	24.77576	46.62762	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Al Salila	13519
